order_id,date,customer_id,product_id,quantity,price,revenue
0,2023-07-28,342,23,2,540.7041364760386,1081.4082729520771
1,2023-11-21,939,28,4,279.1599960448605,1116.639984179442
2,2023-03-06,618,18,1,614.1340477295515,614.1340477295515
3,2023-04-10,849,14,3,395.88950974682075,1187.6685292404622
4,2023-06-26,197,47,4,731.377824204034,2925.511296816136
5,2023-07-05,470,25,1,943.9027373095946,943.9027373095946
6,2023-08-05,631,9,3,201.4816987473941,604.4450962421822
7,2023-08-23,12,36,1,682.5809557109417,682.5809557109417
8,2023-01-11,784,3,3,908.9926134911059,2726.977840473318
9,2023-07-20,532,19,3,539.75259947688,1619.2577984306402
10,2023-10-20,809,16,1,729.7913367278336,729.7913367278336
11,2023-12-25,539,40,3,649.0322861098239,1947.0968583294716
12,2023-05-26,767,13,3,443.40623658414444,1330.2187097524334
13,2023-01-13,209,36,1,702.2020097831995,702.2020097831995
14,2023-01-16,648,8,2,428.51124588276576,857.0224917655315
15,2023-04-10,620,22,1,680.2547230779854,680.2547230779854
16,2023-08-04,775,6,4,199.49626840059543,797.9850736023817
17,2023-01-28,325,43,4,445.4177515453859,1781.6710061815436
18,2023-11-06,437,0,4,228.00151261534657,912.0060504613863
19,2023-08-23,226,12,1,898.4255790897023,898.4255790897023
20,2023-02-23,649,43,3,485.4860167007338,1456.4580501022015
21,2023-02-15,524,36,2,690.9954619737779,1381.9909239475558
22,2023-12-03,867,13,2,412.5950196922444,825.1900393844888
23,2023-04-21,613,16,4,743.8892245362296,2975.5568981449183
24,2023-01-24,540,42,1,930.4776287170833,930.4776287170833
25,2023-07-07,857,37,1,762.4590757423618,762.4590757423618
26,2023-06-05,783,46,1,675.0128276861459,675.0128276861459
27,2023-07-05,971,26,2,551.9348690681877,1103.8697381363754
28,2023-07-06,174,29,1,160.42283540952468,160.42283540952468
29,2023-05-14,390,31,4,411.428851297739,1645.715405190956
30,2023-02-02,54,6,4,195.81231095312967,783.2492438125187
31,2023-01-12,527,15,3,957.6242765476843,2872.8728296430527
32,2023-05-15,227,46,3,608.1068710972985,1824.3206132918954
33,2023-11-27,775,32,3,423.4122398446627,1270.236719533988
34,2023-02-14,213,3,4,762.3432019893285,3049.372807957314
35,2023-06-06,609,33,4,298.95112698665923,1195.804507946637
36,2023-05-04,470,43,2,462.4403394688309,924.8806789376619
37,2023-04-14,392,4,4,199.4779773522219,797.9119094088876
38,2023-11-27,142,31,4,452.9398388384271,1811.7593553537083
39,2023-01-17,570,25,4,988.7231404351584,3954.8925617406335
40,2023-01-26,24,9,3,219.24029849977586,657.7208954993275
41,2023-09-24,460,7,4,819.4079741328,3277.6318965312
42,2023-12-17,411,10,3,607.4692448748006,1822.4077346244017
43,2023-06-24,563,37,4,827.9191662991458,3311.676665196583
44,2023-02-26,558,30,1,26.448238661326375,26.448238661326375
45,2023-10-09,752,49,1,281.81843808925305,281.81843808925305
46,2023-12-27,458,32,2,385.0464925124146,770.0929850248292
47,2023-08-14,14,31,1,467.71557706448834,467.71557706448834
48,2023-02-15,452,5,2,431.1984865975922,862.3969731951844
49,2023-07-29,589,9,2,212.95953244738723,425.91906489477446
50,2023-08-10,2,29,2,171.71909678039594,343.4381935607919
51,2023-08-23,619,32,1,439.51490414355385,439.51490414355385
52,2023-11-29,49,10,3,542.5011516167913,1627.5034548503738
53,2023-03-11,680,15,4,1011.1202983662921,4044.4811934651684
54,2023-02-17,695,25,2,979.0295222299991,1958.0590444599982
55,2023-05-19,356,24,2,601.9366570993234,1203.8733141986468
56,2023-11-07,869,17,2,300.89785193252425,601.7957038650485
57,2023-04-18,882,28,3,294.51650056648873,883.5495016994662
58,2023-09-30,618,42,1,928.6719475327981,928.6719475327981
59,2023-09-04,519,12,2,839.9613847688123,1679.9227695376246
60,2023-12-18,995,46,2,691.052899124477,1382.105798248954
61,2023-02-08,592,19,4,553.3390131936674,2213.3560527746695
62,2023-04-03,85,43,1,485.4794293439867,485.4794293439867
63,2023-02-05,612,27,4,286.18514663453465,1144.7405865381386
64,2023-09-12,170,20,4,1020.8073429484145,4083.229371793658
65,2023-12-26,321,7,4,696.4879052681448,2785.951621072579
66,2023-04-11,154,28,3,327.24982138665445,981.7494641599633
67,2023-06-22,9,35,1,192.52799660942333,192.52799660942333
68,2023-09-04,666,33,3,300.22992564633205,900.6897769389961
69,2023-03-30,604,6,1,195.56796491400596,195.56796491400596
70,2023-04-27,605,34,3,26.099046110478206,78.29713833143461
71,2023-04-01,857,13,1,481.44191936561356,481.44191936561356
72,2023-04-26,860,19,1,510.76291934626386,510.76291934626386
73,2023-11-20,960,49,1,264.5776925817698,264.5776925817698
74,2023-12-31,403,22,2,800.8122298369655,1601.624459673931
75,2023-02-10,104,4,2,198.20628371239533,396.41256742479067
76,2023-10-05,353,44,1,113.87099299165908,113.87099299165908
77,2023-07-16,255,10,4,581.1824830415243,2324.729932166097
78,2023-04-09,587,25,3,923.5956402606773,2770.786920782032
79,2023-07-07,198,46,3,732.167149062809,2196.501447188427
80,2023-02-09,644,20,2,1015.4776506142595,2030.955301228519
81,2023-12-28,83,14,2,377.5035319507565,755.007063901513
82,2023-08-09,903,40,4,632.5194610136826,2530.0778440547306
83,2023-04-13,557,27,2,258.9469745385046,517.8939490770092
84,2023-11-20,889,14,3,401.7552959420576,1205.2658878261727
85,2023-07-14,366,23,3,580.8580105123388,1742.5740315370163
86,2023-07-08,163,33,1,316.84719246085695,316.84719246085695
87,2023-01-04,834,33,1,298.3435814982279,298.3435814982279
88,2023-06-30,247,22,1,680.4995364271242,680.4995364271242
89,2023-09-11,180,40,1,666.4086956930481,666.4086956930481
90,2023-07-07,565,5,1,414.8730787944913,414.8730787944913
91,2023-06-17,390,38,2,550.1408522039272,1100.2817044078545
92,2023-07-31,514,21,3,793.8217257834946,2381.465177350484
93,2023-11-28,37,35,3,203.37259933255135,610.1177979976541
94,2023-12-09,825,49,2,272.11769378809487,544.2353875761897
95,2023-01-25,111,26,3,572.0557739481148,1716.1673218443445
96,2023-02-16,885,35,3,195.28660654308834,585.8598196292651
97,2023-01-22,212,20,4,992.5249732628106,3970.0998930512424
98,2023-02-28,798,41,2,828.015209268979,1656.030418537958
99,2023-06-11,766,8,1,469.8724734914187,469.8724734914187
100,2023-01-10,725,16,4,795.5844595230949,3182.3378380923796
101,2023-04-21,152,20,1,885.1190500815519,885.1190500815519
102,2023-11-17,190,24,3,575.4321243009917,1726.2963729029752
103,2023-03-29,193,39,3,966.7778728783545,2900.3336186350634
104,2023-07-17,0,46,3,621.7555883175651,1865.2667649526952
105,2023-05-06,312,16,2,774.8323519645386,1549.6647039290772
106,2023-03-14,140,5,2,410.26756220835654,820.5351244167131
107,2023-09-02,514,16,3,768.6489946555369,2305.946983966611
108,2023-06-24,108,0,1,242.67886260557066,242.67886260557066
109,2023-09-28,99,31,4,449.29326046577637,1797.1730418631055
110,2023-12-05,42,34,4,25.364656762252118,101.45862704900847
111,2023-10-16,269,33,1,276.35658611427436,276.35658611427436
112,2023-08-04,314,28,3,315.8180908649233,947.4542725947699
113,2023-06-17,338,0,1,259.48240407666646,259.48240407666646
114,2023-01-13,239,34,3,23.444699029367946,70.33409708810385
115,2023-02-12,457,24,4,611.8151634945981,2447.2606539783924
116,2023-05-31,513,21,3,846.3464433606777,2539.039330082033
117,2023-11-24,518,13,4,494.89467141674925,1979.578685666997
118,2023-04-24,783,18,3,518.6633965677827,1555.990189703348
119,2023-11-24,123,32,1,362.42433466023294,362.42433466023294
120,2023-02-22,330,4,3,178.42079625655018,535.2623887696506
121,2023-04-07,516,27,2,289.2166340192562,578.4332680385124
122,2023-02-28,32,49,4,272.5782895032535,1090.313158013014
123,2023-08-02,196,1,2,669.1211248602011,1338.2422497204022
124,2023-10-16,140,19,2,550.1755277117289,1100.3510554234579
125,2023-08-03,525,22,3,792.6317636630569,2377.8952909891705
126,2023-09-05,403,28,4,289.74106975775567,1158.9642790310227
127,2023-07-21,360,7,2,750.2495609855753,1500.4991219711505
128,2023-07-21,16,1,2,692.9901695531083,1385.9803391062167
129,2023-11-14,680,4,2,189.060644152525,378.12128830505
130,2023-08-07,688,11,3,39.067065357900844,117.20119607370253
